image_index,true_emotion,predicted_emotion,true_label_idx,pred_label_idx
1,anger,surprise,0,3
4,anger,fear,0,1
5,anger,fear,0,1
8,anger,surprise,0,3
28,anger,surprise,0,3
41,anger,fear,0,1
43,anger,calm,0,2
44,anger,calm,0,2
46,anger,calm,0,2
51,anger,fear,0,1
55,anger,calm,0,2
61,anger,fear,0,1
66,anger,calm,0,2
70,anger,fear,0,1
77,anger,fear,0,1
79,anger,calm,0,2
86,anger,fear,0,1
92,anger,fear,0,1
94,anger,fear,0,1
95,anger,calm,0,2
100,anger,calm,0,2
104,anger,fear,0,1
110,anger,fear,0,1
112,anger,fear,0,1
113,anger,calm,0,2
116,anger,fear,0,1
122,anger,fear,0,1
124,anger,fear,0,1
128,anger,fear,0,1
132,anger,calm,0,2
133,anger,surprise,0,3
143,anger,fear,0,1
146,anger,fear,0,1
153,anger,fear,0,1
164,anger,calm,0,2
166,anger,calm,0,2
168,anger,calm,0,2
169,anger,calm,0,2
176,anger,fear,0,1
177,anger,fear,0,1
183,anger,fear,0,1
185,anger,fear,0,1
187,anger,fear,0,1
188,anger,fear,0,1
197,anger,surprise,0,3
202,anger,fear,0,1
207,anger,surprise,0,3
210,anger,calm,0,2
212,anger,fear,0,1
215,anger,fear,0,1
217,anger,calm,0,2
220,anger,calm,0,2
223,anger,calm,0,2
227,anger,surprise,0,3
229,anger,fear,0,1
239,anger,fear,0,1
241,anger,fear,0,1
247,anger,calm,0,2
252,anger,fear,0,1
254,anger,fear,0,1
261,anger,fear,0,1
264,anger,surprise,0,3
267,anger,fear,0,1
273,anger,calm,0,2
274,anger,surprise,0,3
275,anger,fear,0,1
276,anger,calm,0,2
277,anger,calm,0,2
278,anger,fear,0,1
280,anger,fear,0,1
284,anger,surprise,0,3
286,anger,fear,0,1
290,anger,calm,0,2
291,anger,calm,0,2
299,anger,fear,0,1
300,anger,calm,0,2
301,anger,fear,0,1
302,anger,fear,0,1
304,anger,calm,0,2
307,anger,surprise,0,3
309,anger,fear,0,1
310,anger,calm,0,2
312,anger,fear,0,1
322,anger,fear,0,1
323,anger,fear,0,1
328,anger,fear,0,1
332,anger,calm,0,2
337,anger,fear,0,1
340,anger,surprise,0,3
347,anger,surprise,0,3
348,anger,calm,0,2
350,anger,calm,0,2
360,anger,fear,0,1
362,anger,fear,0,1
367,anger,fear,0,1
368,anger,fear,0,1
370,anger,fear,0,1
371,anger,fear,0,1
372,anger,surprise,0,3
375,anger,calm,0,2
385,anger,fear,0,1
386,anger,calm,0,2
394,anger,surprise,0,3
395,anger,calm,0,2
403,anger,calm,0,2
404,anger,calm,0,2
406,anger,fear,0,1
408,anger,calm,0,2
409,anger,fear,0,1
411,anger,calm,0,2
412,anger,fear,0,1
413,anger,calm,0,2
419,anger,calm,0,2
420,anger,surprise,0,3
421,anger,calm,0,2
422,anger,calm,0,2
424,anger,calm,0,2
425,anger,fear,0,1
434,anger,surprise,0,3
438,anger,surprise,0,3
447,anger,fear,0,1
451,anger,calm,0,2
455,anger,surprise,0,3
458,anger,fear,0,1
460,anger,fear,0,1
462,anger,fear,0,1
466,anger,calm,0,2
467,anger,calm,0,2
469,anger,fear,0,1
470,anger,calm,0,2
471,anger,calm,0,2
472,anger,calm,0,2
473,anger,surprise,0,3
474,anger,calm,0,2
483,anger,calm,0,2
493,anger,calm,0,2
496,anger,fear,0,1
498,anger,fear,0,1
499,anger,calm,0,2
507,anger,surprise,0,3
509,anger,surprise,0,3
510,anger,fear,0,1
511,anger,surprise,0,3
512,anger,fear,0,1
518,anger,fear,0,1
519,anger,surprise,0,3
523,anger,fear,0,1
526,anger,fear,0,1
529,anger,fear,0,1
530,anger,fear,0,1
532,anger,calm,0,2
534,anger,fear,0,1
535,anger,calm,0,2
536,anger,fear,0,1
540,anger,fear,0,1
544,anger,calm,0,2
547,anger,calm,0,2
548,anger,calm,0,2
550,anger,calm,0,2
554,anger,calm,0,2
558,anger,fear,0,1
560,anger,fear,0,1
567,anger,surprise,0,3
569,anger,calm,0,2
575,anger,fear,0,1
577,anger,surprise,0,3
580,anger,surprise,0,3
582,anger,surprise,0,3
583,anger,surprise,0,3
585,anger,surprise,0,3
588,anger,fear,0,1
591,anger,surprise,0,3
592,anger,calm,0,2
595,anger,calm,0,2
596,anger,surprise,0,3
598,anger,calm,0,2
599,anger,calm,0,2
603,anger,calm,0,2
607,anger,calm,0,2
612,anger,calm,0,2
614,anger,fear,0,1
621,anger,surprise,0,3
624,anger,calm,0,2
626,anger,fear,0,1
631,anger,fear,0,1
632,anger,calm,0,2
635,anger,calm,0,2
641,anger,fear,0,1
642,anger,fear,0,1
647,anger,calm,0,2
650,anger,fear,0,1
651,anger,calm,0,2
654,anger,calm,0,2
659,anger,calm,0,2
664,anger,calm,0,2
665,anger,calm,0,2
666,anger,fear,0,1
668,anger,fear,0,1
672,anger,fear,0,1
674,anger,calm,0,2
